id,host_id,neighbourhood,property_type,room_type,accommodates,price,minimum_nights,maximum_nights,bedrooms,beds,cancellation_policy,number_of_reviews,review_scores_accuracy
41878439,53488563,6,2,3,2,22,1,60,1.0,1.0,strict_14_with_grace_period,2,10.0
41878508,94487022,4,2,1,4,37,1,1125,1.0,3.0,flexible,0,
41878602,148545598,6,26,3,6,40,2,1125,2.0,3.0,flexible,5,10.0
41878636,59497206,11,2,1,3,68,3,1125,2.0,2.0,moderate,0,
41878637,73465553,6,2,3,2,17,2,1125,1.0,1.0,moderate,0,
41878693,143749016,1,29,1,2,25,2,15,1.0,2.0,flexible,0,
41878933,14686608,6,2,1,2,50,2,1125,1.0,1.0,moderate,0,
41879173,331153043,4,26,3,2,13,7,1125,2.0,1.0,moderate,0,
41879723,143749016,1,29,1,4,34,2,15,1.0,1.0,flexible,0,
41880353,143749016,1,29,1,2,25,2,30,1.0,2.0,flexible,0,
41880463,300182845,9,34,3,1,14,2,1125,1.0,1.0,moderate,2,10.0
41882064,100261903,6,2,1,5,43,2,31,2.0,2.0,moderate,1,8.0
41882400,69106466,6,2,3,2,31,2,1125,1.0,1.0,flexible,2,10.0
41882457,318608487,16,22,1,2,15,1,180,1.0,1.0,moderate,2,9.0
41884033,39449776,1,2,1,2,57,4,15,1.0,1.0,moderate,4,10.0
41885429,280745773,5,2,3,4,25,3,62,1.0,1.0,moderate,3,10.0
41885554,307888271,11,15,1,3,60,3,1125,1.0,2.0,moderate,2,10.0
41885817,173836862,15,26,3,2,20,1,10,1.0,2.0,strict_14_with_grace_period,11,10.0
41886089,274375496,4,15,3,1,10,1,1125,1.0,1.0,flexible,7,10.0
41886831,219926859,6,2,1,5,35,2,1125,2.0,4.0,strict_14_with_grace_period,2,10.0
